Specimen,Field,FPWerneck,Sp,City,State,Lat,Lon,Maturiry,SVL,BM,BTAL,TAL,HL,HH,HW,TRL,INF,SG,PG,FL_L,FL_R,TL_L,TL_R,FTL_L,FTL_R,HUL_L,HUL_R,FAL_L,FAL_R,SFT_L,SFT_R,SFF_L,SFF_R
INPA-H044716,LRM22,FPWerneck03729,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Juvenile,35.22,0.60,44.36,53.23,6.06,2.95,5.13,17.70,12.46,4.38,4.70,4.59,4.07,3.03,2.95,6.15,6.36,3.31,2.87,5.95,5.96,17,18,14,14
INPA-H044722,NA,FPWerneck03730,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,44.04,1.05,47.31,55.98,7.04,3.31,5.80,23.84,13.85,5.18,5.83,4.89,4.63,3.47,3.37,NA,6.78,3.37,3.68,NA,6.76,NA,17,NA,12
INPA-H044722,NA,FPWerneck03730,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,44.69,1.05,47.68,61.73,6.91,3.20,6.01,23.93,13.84,5.26,6.04,5.22,4.76,3.46,3.26,NA,6.78,3.39,3.56,NA,6.67,NA,17,NA,12
INPA-H044728,LRM23,FPWerneck03731,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,35.81,0.65,25.49,40.12,6.43,3.16,5.24,19.30,11.85,4.64,5.09,4.32,3.88,2.83,2.73,6.10,6.20,3.12,2.79,6.09,6.13,17,17,13,13
INPA-H044728,LRM23,FPWerneck03731,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,36.33,0.65,26.79,42.25,6.49,3.11,5.34,19.18,12.13,4.64,4.70,4.40,3.80,2.98,3.01,6.11,6.01,2.87,3.04,5.79,5.96,17,17,13,13
INPA-H044721,LRM24,FPWerneck03732,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,43.88,1.07,10.80,41.24,7.13,4.01,6.11,23.93,14.31,5.49,5.79,4.79,4.60,3.40,3.30,6.95,6.42,3.43,3.29,6.72,6.45,17,17,13,13
INPA-H044721,LRM24,FPWerneck03732,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,43.88,1.07,10.90,40.59,7.02,3.67,6.08,23.51,14.31,5.51,5.92,4.96,4.44,3.49,3.38,6.64,6.25,3.30,3.31,6.61,5.95,17,17,13,13
INPA-H044718,LRM25,FPWerneck03733,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,39.60,0.96,33.95,54.34,6.60,3.79,5.59,19.69,13.42,5.46,5.67,4.34,4.36,3.08,3.40,6.56,6.52,3.40,3.15,6.62,6.27,16,16,13,13
INPA-H044718,LRM25,FPWerneck03733,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,40.98,0.96,35.79,56.79,6.42,3.61,5.90,20.75,13.93,5.36,6.19,4.38,4.40,3.37,3.25,6.50,6.90,3.56,3.30,6.68,6.16,16,16,13,13
INPA-H044736,LRM26,FPWerneck03734,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,36.53,0.64,NA,39.00,6.16,2.96,4.84,19.00,12.34,4.58,4.69,4.27,4.14,2.87,3.05,5.77,5.71,3.15,3.19,5.82,6.09,17,17,13,13
INPA-H044736,LRM26,FPWerneck03734,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,37.25,0.64,NA,39.82,6.51,2.97,5.10,19.49,12.58,4.65,4.65,4.47,4.18,3.09,3.26,5.81,5.84,3.13,3.20,5.71,5.80,17,17,13,13
INPA-H044735,LRM27,FPWerneck03735,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,35.09,0.57,9.80,33.74,6.18,3.16,5.07,18.53,11.98,4.83,4.74,4.08,3.89,2.54,2.90,6.11,6.34,2.81,2.82,5.93,6.02,17,17,14,13
INPA-H044735,LRM27,FPWerneck03735,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,36.28,0.57,10.14,35.82,6.09,2.93,5.24,18.94,12.37,4.71,4.50,3.73,4.03,2.75,2.95,6.02,6.54,3.01,3.06,6.05,6.00,17,17,14,13
INPA-H044739,LRM28,FPWerneck03736,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,35.11,0.69,NA,59.40,6.45,3.23,5.09,18.33,11.86,4.71,5.01,4.26,4.22,2.92,2.92,6.33,6.21,2.86,2.85,6.06,5.73,17,17,14,13
INPA-H044739,LRM28,FPWerneck03736,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,35.59,0.69,NA,60.67,6.36,2.95,5.20,18.82,11.77,4.58,4.84,3.89,3.93,3.18,3.06,6.23,6.26,2.91,2.94,5.90,5.49,17,17,14,13
INPA-H044731,LRM29,FPWerneck03737,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,48.65,1.36,19.91,49.80,7.50,3.91,6.43,26.78,15.58,6.09,5.96,5.13,4.95,3.24,3.57,6.67,6.67,3.37,3.43,6.59,6.53,17,17,14,14
INPA-H044731,LRM29,FPWerneck03737,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,48.64,1.36,19.12,50.01,7.49,3.66,6.43,26.11,15.19,6.04,5.80,4.86,4.63,3.28,3.33,6.44,6.60,3.70,3.30,6.42,6.57,17,17,14,14
INPA-H044715,LRM30,FPWerneck03738,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,47.36,1.42,32.78,63.66,7.77,NA,5.89,27.11,13.92,5.30,5.87,4.71,4.88,3.19,3.39,6.39,6.56,3.45,3.25,6.03,6.54,16,17,13,13
INPA-H044715,LRM30,FPWerneck03738,G_underwoodi,Bonfim,Roraima,3.35945,-59.332176,Adult,47.15,1.42,32.86,63.57,7.45,NA,6.33,26.97,13.72,5.64,6.34,5.10,5.21,3.41,3.38,6.16,6.91,3.33,3.39,5.81,6.43,16,17,13,13
