Specimen,State,SVL,Side,FL,TL,FTL,HUL,FAL,LFT,LFF
LRM46,Amazonas,44.45,Left,4.66,3.38,6.86,3.26,7.12,18,14
LRM46,Amazonas,43.85,Right,4.88,3.49,7.04,3.63,6.99,18,13
LRM46,Amazonas,44.45,Right,4.82,3.86,6.97,3.29,6.86,18,13
LRM48,Amazonas,46.67,Left,5.23,3.03,7.54,NA,NA,18,NA
LRM48,Amazonas,46.13,Left,5.07,3.34,7.23,NA,NA,18,NA
LRM48,Amazonas,46.67,Right,5.07,3.52,7.45,3.46,6.71,18,13
LRM48,Amazonas,46.13,Right,4.8,3.81,7.31,3.54,7.08,18,13
LRM49,Amazonas,41.78,Left,5.01,3.16,7.32,3.64,6.8,18,13
LRM49,Amazonas,43.05,Left,4.95,3.45,7.29,3.56,7.19,18,13
LRM49,Amazonas,41.78,Right,4.59,3.13,7.36,3.32,6.62,17,13
LRM49,Amazonas,43.05,Right,4.53,3.31,7.25,3.27,7.11,17,13
LRM50,Amazonas,41.29,Left,4.64,2.76,6.9,3.72,6.61,17,14
LRM50,Amazonas,43.2,Left,4.59,3.02,7.03,3.54,6.88,17,14
LRM50,Amazonas,41.29,Right,4.37,2.99,6.92,3.28,6.5,17,14
LRM50,Amazonas,43.2,Right,4.4,3.27,7.01,3.29,7.05,17,14
LRM51,Amazonas,36.65,Left,4.31,3.01,6.51,3.06,6.4,17,13
LRM51,Amazonas,37.13,Left,4.07,3.22,6.54,2.85,6.44,17,13
LRM51,Amazonas,36.65,Right,4.25,2.81,6.73,3.01,6.32,17,14
LRM51,Amazonas,37.13,Right,4.03,2.78,6.7,2.84,6.49,17,14
LRM52,Amazonas,41.23,Left,4.42,3.13,6.54,3.06,6.35,17,14
LRM52,Amazonas,43.18,Left,4.34,3.45,6.6,2.82,6.56,17,14
LRM52,Amazonas,41.23,Right,4.57,3.52,6.65,3.27,6.18,17,14
LRM52,Amazonas,43.18,Right,4.55,3.74,6.74,3.12,6.14,17,14
LRM53,Amazonas,38.49,Left,4.45,3.61,6.85,3.22,7.09,17,14
LRM53,Amazonas,38.97,Left,4.7,3.71,6.83,3.21,7.05,17,14
LRM53,Amazonas,38.49,Right,4.27,3.41,6.85,3.07,6.78,17,13
LRM53,Amazonas,38.97,Right,4.19,3.49,6.86,3.35,6.71,17,13
LRM54,Amazonas,41.22,Left,4.57,4.04,7.14,3.52,7.06,17,13
LRM54,Amazonas,40.76,Left,4.62,3.78,7.24,3.42,7,17,13
LRM54,Amazonas,41.22,Right,5.02,4.07,7.21,3.2,7.11,17,14
LRM54,Amazonas,40.76,Right,4.9,3.66,7.03,3.2,7.09,17,14
LRM55,Amazonas,37.54,Left,4.25,3.57,6.6,3.39,6.71,17,14
LRM55,Amazonas,36.13,Left,3.99,3.47,6.39,3.28,6.46,17,14
LRM55,Amazonas,37.54,Right,4.45,3.93,6.69,3.36,6.76,16,13
LRM55,Amazonas,36.13,Right,4.15,4.09,6.58,3.05,6.45,16,13
LRM56,Amazonas,35.34,Left,4.03,3.63,6.2,2.97,6.4,16,12
LRM56,Amazonas,34.94,Left,4.01,3.6,6.23,3.03,6.42,16,12
LRM56,Amazonas,35.34,Right,4.14,3.56,6.5,2.98,6.53,16,14
LRM56,Amazonas,34.94,Right,4.46,3.47,6.49,3.07,6.56,16,14
LRM57,Amazonas,36.72,Left,3.91,3.74,6.24,2.96,6.68,16,14
