"","(Intercept)","distribution","FAL_L","FL_L","FTL_L","HH","INF","s(temp, by = distribution)","SFT_L","substrate","SVL","TAL","TL_L","TRL","df","logLik","AICc","delta","weight"
"4810",-2.6151007211552,"+",NA,NA,-0.253479015882942,NA,NA,"+",0.179375066276653,NA,0.0413554459466043,NA,NA,0.0445978933033961,12,-236.868110765031,499.723482676559,7.03659477671033,0.000791309660963308
"7772",-0.102883571279919,"+",0.752800825514732,NA,-0.438982164105587,-0.473383494960884,NA,"+",NA,NA,0.0565876919775604,-0.00365214065075511,-0.0813682231967206,0.104888925083362,15,-233.304223923769,499.725330964421,7.03844306457188,0.000790578714744543
"5752",-0.194113054839952,"+",0.542526106152049,-0.30043699003056,NA,-0.75572930903308,0.247226022639229,"+",NA,NA,0.0586597746088899,-0.00308649098299754,NA,0.318902544388943,15,-233.304845041679,499.726573200242,7.03968530039299,0.00079008782461122
"756",-1.22962344929953,"+",0.40472429517578,NA,NA,-0.519990629060529,-0.0394736271788982,"+",0.0572798192207631,NA,0.0611174934799115,NA,NA,NA,13,-235.696968604673,499.727270542679,7.04038264282963,0.00078981239174738
"1916",-0.339499844103563,"+",0.765578528366311,NA,-0.502580196148915,-0.370993051063608,0.00834320343096969,"+",NA,"+",0.0608125082737361,-0.00517118177362021,NA,NA,15,-233.311993020956,499.740869158795,7.05398125894624,0.000784460429426573
"966",-2.93595905249507,"+",NA,-0.278503935498068,NA,NA,NA,"+",0.179426633964362,"+",0.0495967164596185,NA,NA,NA,12,-236.881337568005,499.749936282507,7.06304838265794,0.00078091207895696
"1760",-1.24573101640261,"+",0.729555949227512,-0.165703592199051,-0.465564430182308,-0.312468981480812,NA,"+",0.0642608564216345,NA,0.0579284983924618,-0.003844120128168,NA,NA,15,-233.316754913097,499.750392943077,7.06350504322756,0.000780733793434325
"1020",-1.9718723210524,"+",0.768132109682798,NA,-0.658950376526454,-0.24365542320596,0.041197794181092,"+",0.104986866807638,"+",0.0565556839487791,NA,NA,NA,15,-233.318789174768,499.754461466418,7.06757356656919,0.000779147190932702
"3688",-0.417067981842003,"+",0.678190636515904,-0.318743012768281,NA,NA,-0.0223336206536414,"+",NA,NA,0.0673001281036443,-0.00747688290293254,-0.177958195388572,NA,14,-234.525505290161,499.760687999677,7.07380009982774,0.000776725269982908
"2028",-2.21267767586124,"+",0.771706363011828,NA,-0.61463180169333,NA,0.050455441189339,"+",0.115921295194183,"+",0.058872205524196,-0.00370857394793067,NA,NA,15,-233.323018170548,499.762919457979,7.0760315581299,0.000775859138230879
"6722",0.151707987007272,"+",NA,NA,NA,NA,NA,"+",NA,NA,0.04858438745641,NA,-0.106311964872802,0.0667817778729631,11,-238.046034754062,499.762955584073,7.07606768422454,0.000775845123977121
"6996",-0.220430308294254,"+",0.572538982469735,NA,NA,-0.644876656160496,NA,"+",NA,"+",0.0602498671306917,NA,-0.178046671912402,0.192353490780988,14,-234.534886446855,499.779450313064,7.09256241321498,0.000769472760171466
"8004",-0.536229764934509,"+",0.675443399441874,NA,NA,NA,NA,"+",NA,"+",0.0686238916230963,-0.00815880715893909,-0.262612445706065,0.0409466789759804,14,-234.535250897598,499.780179214551,7.09329131470167,0.000769192376348186
"5832",-1.73968578097489,"+",0.563484987816364,-0.352544145330198,NA,NA,NA,"+",0.0849478242480184,NA,0.0648657744662806,-0.00706847182056868,NA,0.0496821732311578,14,-234.536777740255,499.783232899866,7.09634500001664,0.00076801883674931
"6752",-0.0947664540580539,"+",0.782600112008741,-0.17219979144241,-0.419746145492385,-0.520023517850669,NA,"+",NA,NA,0.0565586488265647,NA,-0.095675120385969,0.125638693652249,15,-233.334070873431,499.785024863745,7.09813696389654,0.000767331013926471
"630",0.0769143679390062,"+",NA,-0.199276401586761,NA,-0.576024928028554,0.027183658041256,"+",NA,NA,0.0483614543017653,NA,NA,NA,12,-236.899986641976,499.787234430448,7.1003465305995,0.000766483747506306
"634",0.177231200993007,"+",NA,NA,-0.181235235242079,-0.54228707053456,0.0465556656127974,"+",NA,NA,0.0445518429530686,NA,NA,NA,12,-236.908682204881,499.804625556259,7.11773765640987,0.000759847634049613
"4984",-0.256465943474066,"+",0.55221243520637,-0.354513619775268,NA,-0.799196254241123,0.293390952232961,"+",NA,"+",0.0592189189556228,NA,NA,0.351578714125237,15,-233.345448322031,499.807779760945,7.12089186109654,0.000758650221035002
"2658",0.00880125196200354,"+",NA,NA,NA,NA,0.0768631642831102,"+",NA,NA,0.0508944050233457,NA,-0.0978062643959199,NA,11,-238.070018361426,499.810922798802,7.12403489895257,0.000757458924170863
"858",0.165685159222713,"+",NA,NA,-0.161160358420237,-0.565328583583718,NA,"+",NA,"+",0.0450697756124115,NA,NA,NA,12,-236.913393226967,499.814047600431,7.12715970058196,0.000756276393764434
"5976",-0.441119094525007,"+",0.637833069098528,-0.371539922506659,NA,-0.57254535859246,NA,"+",NA,"+",0.0659629359831281,-0.00630504972684239,NA,0.108518661787221,15,-233.353585515157,499.824054147196,7.13716624734741,0.000752501986283415
"3700",-0.32827233419864,"+",0.540855151527051,NA,NA,-0.428286698443245,-0.0655266362963533,"+",NA,NA,0.0638065195317133,-0.00837135014221809,-0.0936910363785583,NA,14,-234.558660376455,499.826998172265,7.14011027241611,0.000751395108796117
